swell, cycles, density
0.00357, -1, 0.01000
0.00377, -1, 0.01115
0.00397, -1, 0.01237
0.00417, -1, 0.01365
0.00437, -1, 0.01499
0.00457, -1, 0.01639
0.00477, -1, 0.01786
0.00497, -1, 0.01939
0.00517, -1, 0.02098
0.00537, -1, 0.02263
0.00557, -1, 0.02435
0.00577, -1, 0.02613
0.00597, -1, 0.02798
0.00617, -1, 0.02988
0.00637, -1, 0.03185
0.00657, -1, 0.03388
0.00677, -1, 0.03598
0.00697, -1, 0.03814
0.00717, -1, 0.04036
0.00737, -1, 0.04264
0.00757, -1, 0.04499
0.00777, -1, 0.04740
0.00797, -1, 0.04987
0.00817, 5, 0.05240
0.00837, 5, 0.05500
0.00857, 4, 0.05766
0.00877, 6, 0.06038
0.00897, 7, 0.06317
0.00917, 6, 0.06602
0.00937, 4, 0.06893
0.00957, 7, 0.07190
0.00977, 9, 0.07494
0.00997, 4, 0.07804
0.01017, 4, 0.08120
0.01037, 6, 0.08443
0.01057, 7, 0.08772
0.01077, 7, 0.09107
0.01097, 4, 0.09449
0.01117, 3, 0.09796
0.01137, 5, 0.10150
0.01157, 5, 0.10511
0.01177, 4, 0.10877
0.01197, 2, 0.11250
0.01217, 3, 0.11629
0.01237, 4, 0.12015
0.01257, 3, 0.12406
0.01277, 10, 0.12804
0.01297, 7, 0.13208
0.01317, 7, 0.13619
0.01337, 4, 0.14036
0.01357, 2, 0.14459
0.01377, 4, 0.14888
0.01397, 3, 0.15324
0.01417, 2, 0.15766
0.01437, 4, 0.16214
0.01457, 5, 0.16669
0.01477, 5, 0.17130
0.01497, 8, 0.17597
0.01517, 3, 0.18070
0.01537, 8, 0.18550
0.01557, 6, 0.19036
0.01577, 6, 0.19528
0.01597, 5, 0.20026
0.01617, 3, 0.20531
0.01637, 5, 0.21042
0.01657, 5, 0.21560
0.01677, 8, 0.22083
0.01697, 3, 0.22613
0.01717, 10, 0.23150
0.01737, 7, 0.23692
0.01757, 3, 0.24241
0.01777, 5, 0.24796
0.01797, 6, 0.25357
0.01817, 6, 0.25925
0.01837, 7, 0.26499
0.01857, 4, 0.27079
0.01877, 6, 0.27665
0.01897, 7, 0.28258
0.01917, 3, 0.28857
0.01937, 7, 0.29463
0.01957, 2, 0.30074
0.01977, 5, 0.30692
0.01997, 7, 0.31316
0.02017, 8, 0.31947
0.02037, 8, 0.32583
0.02057, 8, 0.33226
0.02077, 7, 0.33876
0.02097, 8, 0.34531
0.02117, 7, 0.35193
0.02137, 5, 0.35861
0.02157, 5, 0.36536
0.02177, 8, 0.37217
0.02197, 6, 0.37904
0.02217, 7, 0.38597
0.02237, 9, 0.39296
0.02257, 11, 0.40002
0.02277, 6, 0.40715
0.02297, 9, 0.41433
0.02317, 11, 0.42158
0.02337, 8, 0.42889
0.02357, 9, 0.43626
0.02377, 8, 0.44369
0.02397, 9, 0.45119
0.02417, 10, 0.45875
0.02437, 5, 0.46638
0.02457, 12, 0.47407
0.02477, 15, 0.48182
0.02497, 16, 0.48963
0.02517, 11, 0.49750
0.02537, 3, 0.50544
0.02557, 11, 0.51344
0.02577, 14, 0.52151
0.02597, 14, 0.52963
0.02617, 15, 0.53782
0.02637, 13, 0.54608
0.02657, 12, 0.55439
0.02677, 15, 0.56277
0.02697, 8, 0.57121
0.02717, 19, 0.57971
0.02737, 10, 0.58828
0.02757, 21, 0.59691
0.02777, 15, 0.60560
0.02797, 18, 0.61436
0.02817, 14, 0.62317
0.02837, 14, 0.63206
0.02857, 18, 0.64100
0.02877, 19, 0.65001
0.02897, 14, 0.65907
0.02917, 22, 0.66821
0.02937, 26, 0.67740
0.02957, 11, 0.68666
0.02977, 29, 0.69598
0.02997, 18, 0.70536
0.03017, 21, 0.71481
0.03037, 28, 0.72432
0.03057, 26, 0.73389
0.03077, 19, 0.74352
0.03097, 28, 0.75322
0.03117, 26, 0.76298
0.03137, 31, 0.77281
0.03157, 31, 0.78269
0.03177, 29, 0.79264
0.03197, 29, 0.80265
0.03217, 36, 0.81273
0.03237, 39, 0.82286
0.03257, 54, 0.83306
0.03277, 40, 0.84333
0.03297, 35, 0.85365
0.03317, 17, 0.86404
0.03337, 68, 0.87449
0.03357, 64, 0.88501
0.03377, 47, 0.89559
0.03397, 60, 0.90623
0.03417, 32, 0.91693
0.03437, 47, 0.92769
0.03457, 44, 0.93852
0.03477, -1, 0.94941
